text,category
pete doherty misses bail deadline singer pete doherty will have to spend the weekend in jail because he could not come up with Â£150 000 bond money for his bail on time.  the former libertines singer had been granted bail with curfew restrictions at highbury corner magistrates court on charges of robbery and blackmail. but his lawyer said the money could not be raised on time. mr doherty  25  was arrested following an alleged incident in a london hotel on wednesday evening. musician alan wass  23  also of north london  appeared in court accused of the same offences.  magistrates imposed a range of bail conditions on mr doherty including a curfew between 2200 and 0700  except when he attends a drug rehabilitation centre. he was told he would not be able to leave his home without being accompanied by a security firm. he must also surrender his passport and report daily to a local police station. mr wass was also given a curfew and told to surrender his passport. mr doherty left the libertines at the end of june 2004  but continued performing with his band babyshambles. the singer  who has been linked to supermodel kate moss  was arrested after police were called to the islington hotel in response to claims that a man had been assaulted. a man in his 30s was later taken to university college hospital  london  with facial injuries  before being discharged. a lawyer representing mr doherty and mr wass said outside court the pair strenuously denied the charges.,entertainment
santini resigns as spurs manager tottenham manager jacques santini has resigned for  personal reasons .  the former france manager moved to white hart lane this summer but now wants to return to france. santini said:  my time at tottenham has been memorable and it is with deep regret that i take my leave. i wish the club and the supporters all the best.  private issues in my personal life have arisen which caused my decision. i very much hope that the wonderful fans will respect my decision.  he added:  i should like to thank (sporting director) frank arnesen and (chairman) daniel levy for their understanding.  assistant coach martin jol has been put in temporary charge and will take care of team affairs for saturday s premiership match against charlton.  arnesen said the club were sad to see santini go:  we are obviously disappointed that jacques is leaving us. we fully respect his decision.  i can assure you that the club will act swiftly to minimise the impact of jacques  departure.  our priority is to ensure that this season s performance remains unaffected by this move.  i shall make a further statement on monday  clarifying our position. we wish jacques well.,sport
google launches tv search service the net search giant google has launched a search service that lets people look for tv programmes.  the service  google video beta  searches closed caption information that comes with programmes. it only searches us channel content currently. results list programmes with still images and text from the point where the search phrase was spoken. it should expand over time to include content from more channels  said a google spokesperson. the first version of the service is part of google s expanding efforts to be a ubiquitous search engine for people to find what they want on the web and beyond.  we think tv is a big part of people s lives   said jonathan rosenberg  google s vice president of product management.  ultimately  we would like to have all tv programming indexed.   google video has been indexing us-based programmes from pbs  the nba  fox news  and c-span since december. but there were few clues from google about when more global broadcasters would be included.  over time  we plan to increase the number of television channels and video content available via google video but don t have more product details to share with you today   a google spokesperson told the bbc news website.  the results thrown up by the search will also include programme and episode information like channel  date and time. it also lets people find the next time and channel where a programme will aired locally using a us zip code search function. rival search engine yahoo has been developing a similar type of video search for webcasts and tv clips which it promotes from its homepage. it offers direct links to websites with movies or other clips relevant to the search query  but does not pinpoint when the search query occurred. a spokeswoman told the financial times on monday that yahoo was adding captioning for bloomberg  bbc and bskyb broadcasts. a smaller service  blinkx.tv  was launched last month. it searches for and links to tv news  film trailers  and other video and audio clips.,tech
savvy searchers fail to spot ads internet search engine users are an odd mix of naive and sophisticated  suggests a report into search habits.  the report by the us pew research center reveals that 87% of searchers usually find what they were looking for when using a search engine. it also shows that few can spot the difference between paid-for results and organic ones. the report reveals that 84% of net users say they regularly use google  ask jeeves  msn and yahoo when online.  almost 50% of those questioned said they would trust search engines much less  if they knew information about who paid for results was being hidden. according to figures gathered by the pew researchers the average users spends about 43 minutes per month carrying out 34 separate searches and looks at 1.9 webpages for each hunt. a significant chunk of net users  36%  carry out a search at least weekly and 29% of those asked only look every few weeks. for 44% of those questioned  the information they are looking for is critical to what they are doing and is information they simply have to find.  search engine users also tend to be very loyal and once they have found a site they feel they can trust tend to stick with it. according to pew research 44% of searchers use just a single search engine  48% use two or three and a small number  7%  consult more than three sites. tony macklin  spokesman for ask jeeves  said the results reflected its own research which showed that people use different search engines because the way the sites gather information means they can provide different results for the same query. despite this liking for search sites half of those questioned said they could get the same information via other routes. a small number  17%  said they wouldn t really miss search engines if they did not exist. the remaining 33% said they could not live without search sites. more than two-thirds of those questioned  68%  said they thought that the results they were presented with were a fair and unbiased selection of the information on a topic that can be found on the net. alongside the growing sophistication of net users is a lack of awareness about paid-for results that many search engines provide alongside lists of websites found by indexing the web. of those asked  62% were unaware that someone has paid for some of the results they see when they carry out a search. only 18% of all searchers say they can tell which results are paid for and which are not. said the pew report:  this finding is ironic  since nearly half of all users say they would stop using search engines if they thought engines were not being clear about how they presented paid results.  commenting mr macklin said sponsored results must be clearly marked and though they might help with some queries user testing showed that people need to be able to spot the difference.,tech
gebrselassie in london triple bid double olympic 10 000m champion haile gebrselassie will race in the london marathon for the next three years.  the ethiopian legend won sunday s almeria half-marathon in spain on his return from an operation on his achilles tendon. he was third in london in 2002 in his first serious attempt at the marathon.  it is a coup for us to secure haile s presence for the next three years and it guarantees a quality race   said race director david bedford. gebrselassie will face olympic champion stefano baldini  world champion jaouad gharib  and arch-rival paul tergat  the current world record holder.  if i didn t think i could win i would not be here   said gebrselassie  who has set world records on 18 occasions in his illustrious career and is keen to add the marathon record to his collection.  there are a lot of fantastic runners in the race but i shall be doing my utmost to upset them.,sport
robots learn  robotiquette  rules robots are learning lessons on  robotiquette  - how to behave socially - so they can mix better with humans.  by playing games  like pass-the-parcel  a university of hertfordshire team is finding out how future robot companions should react in social situations. the study s findings will eventually help humans develop a code of social behaviour in human-robot interaction. the work is part of the european cogniron robotics project  and was on show at london s science museum.   we are assuming a situation in which a useful human companion robot already exists   said professor kerstin dautenhahn  project leader at hertfordshire.  our mission is to look at how such a robot should be programmed to respect personal spaces of humans.   the research also focuses on human perception of robots  including how they should look  and how a robot can learn new skills by imitating a human demonstrator.  without such studies  you will build robots which might not respect the fact that humans are individuals  have preferences and come from different cultural backgrounds   professor dautenhahn told bbc news online.  and i want robots to treat humans as human beings  and not like other robots   she added.  in most situations  a companion robot will eventually have to deal not only with one person  but also with groups of people. to find out how they would react  the hertfordshire cogniron team taught one robot to play pass-the-parcel with children.  showing off its skills at the science museum  the unnamed robot had to select  approach  and ask different children to pick up a parcel with a gift  moving it arm as a pointer and its camera as an eye. it even used speech to give instructions and play music. however  according to researchers  it will still take many years to build a robot which would make full use of the  robotiquette  for human interaction.  if you think of a robot as a companion for the human being  you can think of 20 years into the future   concluded professor dautenhahn.  it might take even longer because it is very  very hard to develop such a robot.   you can hear more on this story on the bbc world service s go digital programme.,tech
mps issued with blackberry threat mps will be thrown out of the commons if they use blackberries in the chamber speaker michael martin has ruled.  the Â£200 handheld computers can be used as a phone  pager or to send e-mails. the devices gained new prominence this week after alastair campbell used his to accidentally send an expletive-laden message to a newsnight journalist. mr martin revealed some mps had been using their blackberries during debates and he also cautioned members against using hidden earpieces.  the use of electronic devices in the commons chamber has long been frowned on. the sound of a mobile phone or a pager can result in a strong rebuke from either the speaker or his deputies. the speaker chairs debates in the commons and is charged with ensuring order in the chamber and enforcing rules and conventions of the house. he or she is always an mp chosen by colleagues who  once nominated  gives up all party political allegiances.,politics
manchester wins labour conference the labour party will hold its 2006 autumn conference in manchester and not blackpool  it has been confirmed.  the much trailed decision was ratified by labour s ruling national executive committee in a break with the traditional choice of a seaside venue. it will be the first time since 1917 that the party has chosen manchester to host the annual event. blackpool will get the much smaller february spring conference instead in what will be seen as a placatory move.  for years the main political parties have rotated between blackpool  bournemouth and brighton. and the news the much larger annual conference is not to gather in blackpool will be seen as a blow in the coastal resort. in 1998 the party said it would not return to blackpool but did so in 2002. the following year bournemouth hosted the event before the party signed a two year deal for brighton to host the autumn conference.  colin asplin  blackpool hotel association said:  we have tried very hard to make sure they come back to blackpool.  obviously we have failed in that. i just hope manchester can handle the crowds.  it amazes me that the labour party  which is a working class party  doesn t want to come to the main working class resort in the country.  the exact cost to blackpool in terms of lost revenue for hotel accommodation is not yet known but it is thought that block bookings will be taken at the major manchester hotels after the official announcement.,politics
file-swappers ready new network legal attacks on websites that help people swap pirated films have forced the development of a system that could be harder to shut down.  one site behind the success of the bittorrent file-swapping system is producing its own software that avoids the pitfalls of the earlier program. a test version of the new exeem program will be released in late january. but doubts remain about the new networks ability to ensure files being swapped are  quality copies .  in late december movie studios launched a legal campaign against websites that helped people swap pirated movies using the bittorrent network. the legal campaign worked because of the way that bittorrent is organised. that file-sharing system relies on links called  trackers  that point users to others happy to share the file they are looking for. shutting down sites that listed trackers crippled the bittorrent network. one of the sites shut down by the legal campaign was suprnova.org which helped boost the popularity of the bittorrent system by checking that trackers led to the movies or tv programmes they claimed to.  now the man behind suprnova.org  who goes by the nickname sloncek  is preparing to release software for a new file-swapping network dubbed exeem. in an interview with novastream web radio  sloncek said exeem would combine ideas from the bittorrent and kazaa file-sharing systems. like bittorrent  exeem will have trackers that help point people toward the file they want. like kazaa these trackers will be held by everyone. there will be no centrally maintained list. this  said sloncek  should make the system less vulnerable to legal action aimed at stopping people swapping pirated movies and music. the exeem software has been under development for a few months and is currently being tested by a closed group of users. an early public version of the software should be available before february. sloncek said that currently only a windows version of the software was in development. there were no plans for a linux or mac version. he said that costs of writing the software will be paid for by adverts appearing in the finished version of the program. despite suprnova administrator sloncek s involvement with exeem  the basic technology appears to have been developed by a firm called swarm systems that is based on caribbean island saint kitts and nevis.  users of the exeem system will be able to rate files being swapped to help stop the spread of fake files  sloncek told novastream.  dr johan pouwelse  a researcher at the delft university of technology who studies peer-to-peer networks  said exeem was the next evolution in file-sharing systems. but  he said  it would struggle to be as popular as bittorrent and suprnova because early versions were not taking enough care to make sure good copies of files were being shared.  exeem cannot prevent pollution   he said.  the rating system in exeem seems flawed because it is easy to insert both fake files and fake ratings   he said. studies have shown that organisations working for record labels and movie studios have worked to undermine kazaa by putting in fakes. by contrast moderators on suprnova made sure files being shared were high quality.  the moderators are the difference between having a system that works and one that s full of crap like kazaa   he said.  there is a fundamental tension between distribution and integrity   he said. mr pouwelse said that future versions of file-sharing systems are likely to incorporate some kind of distributed reputation system that lets moderators prove who they are to the network and rate which files are worth downloading. when big files were being shared moderation systems were key  said mr pouwelse. he added that the legal attacks on bittorrent had driven people away from sites such as suprnova but many users had simply migrated to other tracker listing sites many of which have seen huge increases in traffic.  it s hard to compete with free   he said. no-one from the motion picture association of america was immediately available for comment on the file-sharing development.,tech
school sport  is back   says pm tony blair has promised that  sport is back  as a priority for schools.  the prime minister launched a Â£500m initiative to allow school sports clubs in england to provide up to three hours of extra activity a week by 2010.  it s an important part of education and it s an important part of health   mr blair said. but the conservatives say government proposals - which include two hours  pe within school for 75% of pupils by 2006 - are unrealistic.  the latest move is aimed at encouraging more diversity in sport  with activities such as yoga and tai chi being options. launching the initiative  mr blair completed an agility course and shot basketball hoops with students from the all-girl waverley sports college in southwark  south london. he said:  you ve got to bring back school sport. it s got to be done differently than it was 30 or 40 years ago. it s still very  very important.   earlier  education secretary charles clarke told bbc news there were at least three areas which needed  a coherent framework  and  dedicated funding . these were training for pe teachers  establishing more specialist schools and the development of partnerships for activities such as inter-school competitions. he added the government had originally pledged  for every pupil to get at least two hours of high-quality physical education  a week. the proportion was currently at 62%  and the government was hoping this would rise to 85% by 2008 and 100% by 2010. the money for the initiative will come from a new Â£500m fund.  the Â£500m move will also increase the number of specialist sport colleges from 350 to 400. but the conservatives warned of rising obesity levels and said that since only a third of children do two hours of sport a week currently  the government is promising something it cannot guarantee. shadow spokesman for sport hugh robertson said:  i suspect the correct way to tackle it is to look at the other end of the spectrum and try to enable the clubs - which is where the real passion for sport exists - to deliver the school sport offer.  he said more emphasis should be put on traditional sports  saying that an  anti-competitive sport agenda  had been pursued in recent years. martin ward  of the secondary heads association  said members did not like  ring-fenced funds  and that it should be up to the schools themselves to decide how to spend their money.,politics
